inventory_date,warehouse_code,product_id,product_name,category,quantity_on_hand,unit_cost_euro,supplier_id,restock_threshold,restock_lead_days,is_active,last_updated_ts,last_sale_ts,lifetime_revenue_euro
2025-09-30,BUC,PRD00001,Gaming-00001,Gaming,124,1561.98,SUP029,32,6,True,2025-09-30T22:08:00,2025-09-29T03:08:00,12256632.82
2025-09-30,BUC,PRD00002,Appliances-00002,Appliances,158,1082.71,SUP018,36,12,True,2025-09-30T04:34:00,2025-09-28T06:34:00,13429319.96
2025-09-30,BUC,PRD00003,Accessories-00003,Accessories,121,1422.23,SUP006,21,9,True,2025-09-30T19:25:00,2025-09-30T16:25:00,6746915.74
2025-09-30,BUC,PRD00004,Televisions-00004,Televisions,72,1182.99,SUP030,36,13,True,2025-09-30T20:12:00,2025-09-28T20:12:00,7965292.86
2025-09-30,BUC,PRD00005,Gaming-00005,Gaming,96,1264.32,SUP026,54,4,True,2025-09-30T20:03:00,2025-09-28T21:03:00,8966950.75
2025-09-30,BUC,PRD00006,Laptops-00006,Laptops,94,85.08,SUP007,39,8,True,2025-09-30T21:17:00,2025-09-29T20:17:00,443911.64
2025-09-30,BUC,PRD00007,Laptops-00007,Laptops,127,1219.54,SUP001,52,6,True,2025-09-30T14:07:00,2025-09-30T07:07:00,12608077.64
2025-09-30,BUC,PRD00008,Laptops-00008,Laptops,139,408.44,SUP025,27,8,True,2025-09-30T20:09:00,2025-09-29T13:09:00,1497589.11
2025-09-30,BUC,PRD00009,Appliances-00009,Appliances,124,828.94,SUP018,31,3,True,2025-09-30T08:38:00,2025-09-28T13:38:00,2964433.38
2025-09-30,BUC,PRD00010,Televisions-00010,Televisions,172,1451.8,SUP009,12,4,True,2025-09-30T06:33:00,2025-09-28T19:33:00,14607314.51
2025-09-30,BUC,PRD00011,Appliances-00011,Appliances,164,673.79,SUP014,48,11,True,2025-09-30T05:20:00,2025-09-29T16:20:00,6099378.53
2025-09-30,BUC,PRD00012,Televisions-00012,Televisions,191,1354.04,SUP002,55,9,True,2025-09-30T15:00:00,2025-09-30T08:00:00,8691163.59
2025-09-30,BUC,PRD00013,Televisions-00013,Televisions,100,1610.62,SUP024,57,14,True,2025-09-30T11:41:00,2025-09-29T00:41:00,9354669.08
